NCLOC;DCP;NOCom;WMC;;;;;;;;;;;;;;
68;65,66;4;36;;;;;;;;;;;;;;
77;58,6;6;25;;;;;;;;;;;;;;
7;87,72;5;12;;;;;;;;;;;;;;
10;83,33;4;7;;;;;;;;;;;;;;
198;49,23;12;38;;;;;;;;;;;;;;
238;50,42;12;29;;;;;;;;;;;;;;
123;50;8;17;;;;;;;;;;;;;;
137;56,37;11;27;;;;;;;;;;;;;;
11;82,81;4;8;;;;;;;;;;;;;;
7;89,06;5;8;;;;;;;;;;;;;;
176;48,54;10;37;;;;;;;;;;;;;;
159;52,54;10;38;;;;;;;;;;;;;;
143;47,04;12;31;;;;;;;;;;;;;;
134;50,74;12;30;;;;;;;;;;;;;;
180;45,62;13;45;;;;;;;;;;;;;;
252;48,99;12;30;;Quartile inf:;12;Médiane:;71,5;Quartille sup:;180;;Quartile inf:;49,25;Médiane:;59,21;Quartille sup:;82,41
171;46,73;13;31;;Limite inf:;-240;Longueur:;168;Limite sup:;432;;Limite inf:;-0,49;Longueur:;33,16;Limite sup:;132,15
152;44,12;11;35;;;;;;;;;;;;;;
282;51,63;14;50;;;;;;;;;;;;;;
212;40,95;15;38;;;;;;;;;;;;;;
6;87,5;2;6;;;;;;;;;;;;;;
5;86,49;2;7;;;;;;;;;;;;;;
6;87,23;2;7;;;;;;;;;;;;;;
5;90,57;2;9;;;;;;;;;;;;;;
80;37,5;2;7;;;;;;;;;;;;;;
95;37,5;3;9;;;;;;;;;;;;;;
42;60,75;2;9;;;;;;;;;;;;;;
245;49,28;5;41;;;;;;;;;;;;;;
12;82,09;2;9;;;;;;;;;;;;;;
5;88,64;2;6;;;;;;;;;;;;;;
5;88,64;2;7;;;;;;;;;;;;;;
5;88,64;2;6;;;;;;;;;;;;;;
6;87,5;2;6;;;;;;;;;;;;;;
6;88,68;3;7;;;;;;;;;;;;;;
789;48,63;15;181;;Quartile inf:;3;Médiane:;5;Quartille sup:;9;;Quartile inf:;10;Médiane:;21;Quartille sup:;43
49;61,42;8;10;;Limite inf:;-6;Longueur:;6;Limite sup:;18;;Limite inf:;-39,5;Longueur:;33;Limite sup:;92,5
6;87,23;5;6;;;;;;;;;;;;;;
26;67,9;9;6;;;;;;;;;;;;;;
189;44,74;7;45;;;;;;;;;;;;;;
66;62,29;7;16;;;;;;;;;;;;;;
6;87,5;6;6;;;;;;;;;;;;;;
726;43,98;16;149;;;;;;;;;;;;;;
99;56,77;8;18;;;;;;;;;;;;;;
217;40,71;8;27;;;;;;;;;;;;;;
5;88,89;7;7;;;;;;;;;;;;;;
55;58,33;6;14;;;;;;;;;;;;;;
48;65,71;5;27;;;;;;;;;;;;;;
653;37,69;11;107;;;;;;;;;;;;;;
1063;36,35;17;207;;;;;;;;;;;;;;
42;65;8;11;;;;;;;;;;;;;;
6;88,68;5;6;;;;;;;;;;;;;;
140;55,84;9;51;;;;;;;;;;;;;;
18;75,68;4;7;;;;;;;;;;;;;;
106;53,91;8;30;;;;;;;;;;;;;;
561;41,01;7;176;;;;;;;;;;;;;;
565;41,45;12;130;;;;;;;;;;;;;;
14;80,56;4;9;;;;;;;;;;;;;;
133;45,04;9;22;;;;;;;;;;;;;;
215;45,98;6;39;;;;;;;;;;;;;;
98;57,39;5;41;;;;;;;;;;;;;;
597;41,7;10;166;;;;;;;;;;;;;;
19;77,38;6;6;;;;;;;;;;;;;;
55;60,43;6;28;;;;;;;;;;;;;;
157;26,64;6;41;;;;;;;;;;;;;;
670;38,98;14;127;;;;;;;;;;;;;;
158;50,63;9;32;;;;;;;;;;;;;;
81;54,24;5;27;;;;;;;;;;;;;;
39;67,23;3;12;;;;;;;;;;;;;;
233;41,31;11;53;;;;;;;;;;;;;;
423;37,89;11;85;;;;;;;;;;;;;;
65;58,6;7;17;;;;;;;;;;;;;;
5;88,89;4;6;;;;;;;;;;;;;;
64;61,68;4;20;;;;;;;;;;;;;;
72;63,08;2;21;;;;;;;;;;;;;;
6;91,89;4;9;;;;;;;;;;;;;;
11;91,73;4;25;;;;;;;;;;;;;;
767;49,64;14;197;;;;;;;;;;;;;;
42;65,85;6;11;;;;;;;;;;;;;;
259;55,73;13;58;;;;;;;;;;;;;;
7;89,71;5;10;;;;;;;;;;;;;;
13;87,13;6;10;;;;;;;;;;;;;;
101;52,8;9;24;;;;;;;;;;;;;;
126;50,39;10;28;;;;;;;;;;;;;;
9;85;7;7;;;;;;;;;;;;;;
30;76;2;7;;;;;;;;;;;;;;
15;79,17;2;7;;;;;;;;;;;;;;
382;25,24;6;85;;;;;;;;;;;;;;
140;53,33;5;35;;;;;;;;;;;;;;
72;58,86;7;15;;;;;;;;;;;;;;
208;41,57;6;48;;;;;;;;;;;;;;
33;70,27;5;9;;;;;;;;;;;;;;
4;92,59;3;8;;;;;;;;;;;;;;
5;90,57;3;6;;;;;;;;;;;;;;
234;43,07;7;51;;;;;;;;;;;;;;
242;40,69;7;49;;;;;;;;;;;;;;
179;53,26;14;31;;;;;;;;;;;;;;
6;88,46;5;6;;;;;;;;;;;;;;
118;44,86;11;23;;;;;;;;;;;;;;
149;53,44;7;24;;;;;;;;;;;;;;
59;60,4;2;16;;;;;;;;;;;;;;
70;53,02;3;6;;;;;;;;;;;;;;
4;91,67;2;7;;;;;;;;;;;;;;
4;91,49;2;7;;;;;;;;;;;;;;
1000;46,52;22;300;;;;;;;;;;;;;;
25;73,12;4;11;;;;;;;;;;;;;;
97;58,01;7;33;;;;;;;;;;;;;;
4;92,16;5;6;;;;;;;;;;;;;;
102;55,84;7;29;;;;;;;;;;;;;;
235;62,7;10;102;;;;;;;;;;;;;;
15;76,92;5;19;;;;;;;;;;;;;;
355;58,53;8;142;;;;;;;;;;;;;;
175;56,79;6;64;;;;;;;;;;;;;;
6;86,05;2;7;;;;;;;;;;;;;;
53;70,22;2;59;;;;;;;;;;;;;;
13;86,32;3;12;;;;;;;;;;;;;;
52;63,64;4;45;;;;;;;;;;;;;;
6;88,46;3;10;;;;;;;;;;;;;;
59;62,18;5;16;;;;;;;;;;;;;;
36;69,23;4;12;;;;;;;;;;;;;;
79;58,64;10;23;;;;;;;;;;;;;;
65;62,86;11;16;;;;;;;;;;;;;;
45;61,54;8;13;;;;;;;;;;;;;;
181;51,21;9;54;;;;;;;;;;;;;;
13;86,32;5;9;;;;;;;;;;;;;;
38;63,46;2;12;;;;;;;;;;;;;;
79;58,42;10;22;;;;;;;;;;;;;;
56;63,64;7;19;;;;;;;;;;;;;;
23;73,86;2;7;;;;;;;;;;;;;;
81;61,61;7;15;;;;;;;;;;;;;;
79;58,42;10;22;;;;;;;;;;;;;;
86;54,74;8;19;;;;;;;;;;;;;;
10;82,46;3;7;;;;;;;;;;;;;;
79;58,42;10;23;;;;;;;;;;;;;;
35;65,35;3;12;;;;;;;;;;;;;;
56;63,4;3;13;;;;;;;;;;;;;;
14;78,79;7;7;;;;;;;;;;;;;;
6;88;5;8;;;;;;;;;;;;;;
12;80,65;3;7;;;;;;;;;;;;;;
5;90,91;4;10;;;;;;;;;;;;;;
34;70,43;4;7;;;;;;;;;;;;;;
6;87,23;6;6;;;;;;;;;;;;;;
5;90,38;5;8;;;;;;;;;;;;;;
35;69,57;4;7;;;;;;;;;;;;;;
5;88,89;3;6;;;;;;;;;;;;;;
5;89,8;4;8;;;;;;;;;;;;;;
12;80,95;5;7;;;;;;;;;;;;;;
6;88;5;8;;;;;;;;;;;;;;
12;81,25;3;7;;;;;;;;;;;;;;
5;90;4;8;;;;;;;;;;;;;;
19;78,16;5;8;;;;;;;;;;;;;;
5;89,8;4;8;;;;;;;;;;;;;;
