NCLOC;DCP;NOCom;WMC;;Rang NCLOC;Rang DCP;Rang NOCom;Rang WMC
68;65,66;4;36;;327;240;380;212
77;58,6;6;25;;304;330;259;282
7;87,72;5;12;;519;114;311;422
10;83,33;4;7;;503;152;380;539
198;49,23;12;38;;138;476;62;195
238;50,42;12;29;;103;452;62;254
123;50;8;17;;226;460;165;355
137;56,37;11;27;;207;361;88;269
11;82,81;4;8;;490;155;380;507
7;89,06;5;8;;519;80;311;507
176;48,54;10;37;;163;488;109;204
159;52,54;10;38;;177;423;109;195
143;47,04;12;31;;199;512;62;233
134;50,74;12;30;;211;449;62;242
180;45,62;13;45;;157;535;51;143
252;48,99;12;30;;95;477;62;242
171;46,73;13;31;;168;517;51;233
152;44,12;11;35;;190;552;88;220
282;51,63;14;50;;81;433;42;126
212;40,95;15;38;;127;578;34;195
6;87,5;2;6;;531;115;539;594
5;86,49;2;7;;574;134;539;539
6;87,23;2;7;;531;122;539;539
5;90,57;2;9;;574;52;539;482
80;37,5;2;7;;294;608;539;539
95;37,5;3;9;;269;608;466;482
42;60,75;2;9;;400;294;539;482
245;49,28;5;41;;97;473;311;171
12;82,09;2;9;;474;160;539;482
5;88,64;2;6;;574;95;539;594
5;88,64;2;7;;574;95;539;539
5;88,64;2;6;;574;95;539;594
6;87,5;2;6;;531;115;539;594
6;88,68;3;7;;531;90;466;539
789;48,63;15;181;;13;487;34;16
49;61,42;8;10;;378;289;165;465
6;87,23;5;6;;531;122;311;594
26;67,9;9;6;;443;225;139;594
189;44,74;7;45;;148;542;211;143
66;62,29;7;16;;328;277;211;366
6;87,5;6;6;;531;115;259;594
726;43,98;16;149;;17;553;25;25
99;56,77;8;18;;261;359;165;349
217;40,71;8;27;;120;581;165;269
5;88,89;7;7;;574;83;211;539
55;58,33;6;14;;366;341;259;388
48;65,71;5;27;;384;239;311;269
653;37,69;11;107;;23;606;88;39
1063;36,35;17;207;;7;615;22;9
42;65;8;11;;400;246;165;446
6;88,68;5;6;;531;90;311;594
140;55,84;9;51;;204;365;139;120
18;75,68;4;7;;454;190;380;539
106;53,91;8;30;;250;396;165;242
561;41,01;7;176;;30;577;211;18
565;41,45;12;130;;29;572;62;29
14;80,56;4;9;;462;172;380;482
133;45,04;9;22;;212;538;139;303
215;45,98;6;39;;122;531;259;188
98;57,39;5;41;;262;350;311;171
597;41,7;10;166;;27;569;109;20
19;77,38;6;6;;452;183;259;594
55;60,43;6;28;;366;300;259;259
157;26,64;6;41;;182;631;259;171
670;38,98;14;127;;21;595;42;30
158;50,63;9;32;;179;451;139;232
81;54,24;5;27;;291;390;311;269
39;67,23;3;12;;411;228;466;422
233;41,31;11;53;;109;574;88;118
423;37,89;11;85;;42;604;88;55
65;58,6;7;17;;332;330;211;355
5;88,89;4;6;;574;83;380;594
64;61,68;4;20;;337;281;380;324
72;63,08;2;21;;312;265;539;315
6;91,89;4;9;;531;13;380;482
11;91,73;4;25;;490;20;380;282
767;49,64;14;197;;15;468;42;12
42;65,85;6;11;;400;237;259;446
259;55,73;13;58;;91;369;51;104
7;89,71;5;10;;519;69;311;465
13;87,13;6;10;;467;128;259;465
101;52,8;9;24;;259;416;139;290
126;50,39;10;28;;220;454;109;259
9;85;7;7;;507;147;211;539
30;76;2;7;;435;188;539;539
15;79,17;2;7;;459;177;539;539
382;25,24;6;85;;52;632;259;55
140;53,33;5;35;;204;406;311;220
72;58,86;7;15;;312;322;211;376
208;41,57;6;48;;129;571;259;130
33;70,27;5;9;;431;204;311;482
4;92,59;3;8;;617;3;466;507
5;90,57;3;6;;574;52;466;594
234;43,07;7;51;;106;560;211;120
242;40,69;7;49;;100;583;211;129
179;53,26;14;31;;160;408;42;233
6;88,46;5;6;;531;99;311;594
118;44,86;11;23;;230;541;88;295
149;53,44;7;24;;192;404;211;290
59;60,4;2;16;;345;302;539;366
70;53,02;3;6;;318;412;466;594
4;91,67;2;7;;617;21;539;539
4;91,49;2;7;;617;26;539;539
1000;46,52;22;300;;8;522;9;7
25;73,12;4;11;;444;196;380;446
97;58,01;7;33;;265;345;211;223
4;92,16;5;6;;617;9;311;594
102;55,84;7;29;;257;365;211;254
235;62,7;10;102;;105;271;109;42
15;76,92;5;19;;459;185;311;337
355;58,53;8;142;;61;333;165;27
175;56,79;6;64;;165;358;259;88
6;86,05;2;7;;531;143;539;539
53;70,22;2;59;;369;205;539;99
13;86,32;3;12;;467;136;466;422
52;63,64;4;45;;371;259;380;143
6;88,46;3;10;;531;99;466;465
59;62,18;5;16;;345;278;311;366
36;69,23;4;12;;421;217;380;422
79;58,64;10;23;;295;329;109;295
65;62,86;11;16;;332;268;88;366
45;61,54;8;13;;391;287;165;404
181;51,21;9;54;;154;438;139;111
13;86,32;5;9;;467;136;311;482
38;63,46;2;12;;414;261;539;422
79;58,42;10;22;;295;335;109;303
56;63,64;7;19;;357;259;211;337
23;73,86;2;7;;450;194;539;539
81;61,61;7;15;;291;284;211;376
79;58,42;10;22;;295;335;109;303
86;54,74;8;19;;280;380;165;337
10;82,46;3;7;;503;158;466;539
79;58,42;10;23;;295;335;109;295
35;65,35;3;12;;423;242;466;422
56;63,4;3;13;;357;262;466;404
14;78,79;7;7;;462;178;211;539
6;88;5;8;;531;110;311;507
12;80,65;3;7;;474;167;466;539
5;90,91;4;10;;574;41;380;465
34;70,43;4;7;;428;203;380;539
6;87,23;6;6;;531;122;259;594
5;90,38;5;8;;574;56;311;507
35;69,57;4;7;;423;212;380;539
5;88,89;3;6;;574;83;466;594
5;89,8;4;8;;574;66;380;507
12;80,95;5;7;;474;164;311;539
6;88;5;8;;531;110;311;507
12;81,25;3;7;;474;162;466;539
5;90;4;8;;574;60;380;507
19;78,16;5;8;;452;181;311;507
5;89,8;4;8;;574;66;380;507
12;80,33;3;7;;474;173;466;539
5;90;4;8;;574;60;380;507
20;76,74;3;11;;451;186;466;446
123;48,54;6;38;;226;488;259;195
13;81,16;3;7;;467;163;466;539
12;81,54;3;8;;474;161;466;507
11;83,33;2;8;;490;152;539;507
4;93,44;4;9;;617;1;380;482
8;87,1;4;9;;512;129;380;482
34;70,18;3;22;;428;206;466;303
106;43,62;2;36;;250;556;539;212
89;48,85;6;27;;275;482;259;269
65;66,15;7;13;;332;234;211;404
84;44,37;3;25;;285;546;466;282
117;41,79;3;31;;231;567;466;233
418;34,07;4;80;;43;625;380;62
262;46,42;5;61;;89;526;311;95
780;48,14;24;198;;14;496;7;11
135;52,8;12;61;;210;416;62;95
103;51,64;7;43;;256;432;211;158
155;50,79;10;84;;185;448;109;58
52;60,9;5;27;;371;293;311;269
57;59,86;3;28;;354;311;466;259
115;52,48;9;54;;235;424;139;111
7;90,91;6;14;;519;41;259;388
5;91,07;5;11;;574;38;311;446
5;91,8;5;9;;574;15;311;482
5;90;5;8;;574;60;311;507
77;54,44;5;22;;304;386;311;303
6;88,89;2;9;;531;83;539;482
106;46,46;6;39;;250;524;259;188
54;55,74;6;33;;368;368;259;223
64;54,61;4;36;;337;383;380;212
128;48,18;6;66;;216;495;259;85
124;48,97;6;66;;225;479;259;85
28;69,57;7;6;;439;212;211;594
76;55,29;9;15;;307;375;139;376
112;47,17;10;42;;239;507;109;164
11;87,06;6;12;;490;130;259;422
5;90,74;4;9;;574;47;380;482
47;64,66;6;33;;388;249;259;223
57;60,42;8;26;;354;301;165;277
43;63,87;3;25;;396;257;466;282
57;58,39;5;22;;354;339;311;303
47;59,13;2;16;;388;318;539;366
85;63,04;7;38;;282;266;211;195
37;71,32;8;25;;417;200;165;282
58;66,47;6;48;;350;230;259;130
58;61,59;9;30;;350;286;139;242
59;66,09;6;44;;345;236;259;150
109;52,81;7;54;;245;415;211;111
70;55,13;5;20;;318;376;311;324
5;90,74;4;10;;574;47;380;465
5;91,23;5;12;;574;35;311;422
5;90,57;4;9;;574;52;380;482
5;90,57;4;8;;574;52;380;507
334;51,1;8;70;;67;441;165;75
468;52,39;6;79;;35;426;259;65
69;59,41;3;10;;325;315;466;465
56;60,56;3;12;;357;298;466;422
5;90;2;6;;574;60;539;594
5;88,89;2;7;;574;83;539;539
347;43,76;7;71;;64;555;211;73
392;40,79;5;70;;50;579;311;75
64;59,24;4;19;;337;316;380;337
69;60,34;7;19;;325;304;211;337
2415;46,61;32;683;;2;521;1;2
6;87,23;3;7;;531;122;466;539
358;41,6;14;89;;60;570;42;50
396;42,69;15;104;;48;563;34;40
307;40,39;12;78;;73;584;62;66
371;42,57;16;97;;56;564;25;46
78;50;2;20;;302;460;539;324
438;43,56;5;68;;38;557;311;84
41;62,73;2;15;;406;270;539;376
87;45,96;2;21;;279;532;539;315
178;52,66;3;37;;162;420;466;204
61;53,79;3;17;;343;398;466;355
59;54,62;3;17;;345;382;466;355
51;57,5;2;17;;373;349;539;355
70;50;2;21;;318;460;539;315
49;58,82;2;20;;378;323;539;324
45;58,72;2;14;;391;326;539;388
298;55,79;16;44;;75;367;25;150
109;66,36;7;40;;245;231;211;182
5;91,67;5;7;;574;21;311;539
276;40,39;8;41;;83;584;165;171
74;61,66;6;29;;309;283;259;254
228;51,18;10;51;;112;439;109;120
100;58,68;11;46;;260;328;88;139
131;57,05;10;30;;214;354;109;242
7;88,14;4;10;;519;107;380;465
14;86,27;4;13;;462;138;380;404
12;80,65;3;7;;474;167;466;539
5;90,2;4;10;;574;59;380;465
373;50,4;16;83;;55;453;25;59
279;50,36;10;43;;82;455;109;158
5;92,06;4;7;;574;10;380;539
159;55,96;12;37;;177;363;62;204
327;52,61;16;76;;69;421;25;67
149;53,73;10;44;;192;401;109;150
